# thresholds,fpr,tpr
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,3.767757875231624309e-01,4.110050533408197704e-01
9.999999999999997780e-01,3.773934527486102475e-01,4.132509825940482995e-01
9.999999999999995559e-01,3.786287831995058806e-01,4.154969118472768286e-01
9.999999999999993339e-01,3.792464484249536971e-01,4.160583941605839331e-01
9.999999999999984457e-01,3.804817788758492747e-01,4.160583941605839331e-01
9.999999999999975575e-01,3.804817788758492747e-01,4.171813587871981976e-01
9.999999999999971134e-01,3.810994441012970912e-01,4.171813587871981976e-01
9.999999999999966693e-01,3.810994441012970912e-01,4.183043234138124622e-01
9.999999999999942268e-01,3.823347745521927243e-01,4.183043234138124622e-01
9.999999999999920064e-01,3.823347745521927243e-01,4.194272880404267267e-01
9.999999999999904521e-01,3.841877702285361185e-01,4.194272880404267267e-01
9.999999999999900080e-01,3.841877702285361185e-01,4.199887703537338313e-01
9.999999999999857891e-01,3.848054354539839350e-01,4.199887703537338313e-01
9.999999999999851230e-01,3.848054354539839350e-01,4.205502526670409913e-01
9.999999999999815703e-01,3.860407659048795681e-01,4.205502526670409913e-01
9.999999999999629186e-01,3.860407659048795681e-01,4.222346996069623604e-01
9.999999999999527045e-01,3.872760963557751457e-01,4.222346996069623604e-01
9.999999999998805400e-01,3.872760963557751457e-01,4.244806288601908895e-01
9.999999999998410161e-01,3.878937615812229622e-01,4.244806288601908895e-01
9.999999999998254729e-01,3.878937615812229622e-01,4.250421111734980495e-01
9.999999999998030464e-01,3.891290920321185953e-01,4.250421111734980495e-01
9.999999999997650768e-01,3.891290920321185953e-01,4.256035934868051540e-01
9.999999999995241584e-01,3.922174181593576225e-01,4.256035934868051540e-01
9.999999999995041744e-01,3.922174181593576225e-01,4.261650758001123140e-01
9.999999999994038102e-01,3.928350833848054391e-01,4.261650758001123140e-01
9.999999999993387512e-01,3.928350833848054391e-01,4.272880404267265786e-01
9.999999999986375343e-01,3.946880790611488332e-01,4.272880404267265786e-01
9.999999999982056575e-01,3.946880790611488332e-01,4.284110050533408431e-01
9.999999999981543652e-01,3.953057442865966498e-01,4.284110050533408431e-01
9.999999999906206138e-01,3.953057442865966498e-01,4.323413812464907413e-01
9.999999999898998571e-01,3.965410747374922829e-01,4.323413812464907413e-01
9.999999999882625001e-01,3.965410747374922829e-01,4.329028635597978458e-01
9.999999999814022100e-01,3.977764051883879159e-01,4.329028635597978458e-01
9.999999999794071393e-01,3.977764051883879159e-01,4.334643458731050059e-01
9.999999999773929726e-01,3.983940704138356770e-01,4.334643458731050059e-01
9.999999999598923051e-01,3.983940704138356770e-01,4.345873104997192704e-01
9.999999999368789361e-01,3.996294008647313101e-01,4.345873104997192704e-01
9.999999999238053938e-01,3.996294008647313101e-01,4.357102751263335350e-01
9.999999999041113696e-01,4.002470660901791266e-01,4.357102751263335350e-01
9.999999998741888607e-01,4.002470660901791266e-01,4.368332397529477995e-01
9.999999998372566257e-01,4.008647313156269432e-01,4.368332397529477995e-01
9.999999998268369605e-01,4.008647313156269432e-01,4.373947220662549040e-01
9.999999997692901044e-01,4.014823965410747597e-01,4.373947220662549040e-01
9.999999997074300317e-01,4.014823965410747597e-01,4.385176866928691686e-01
9.999999996697384042e-01,4.021000617665225207e-01,4.385176866928691686e-01
9.999999995373798356e-01,4.021000617665225207e-01,4.396406513194834331e-01
